Date,Description,Original Description,Category,Amount,Status,My Category,E,Comment
6/27/2024,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - nice,.,
6/27/2024,Jason's Deli,RDU JASONS DELI 6201117  MORRISVILLE  NC,Fast Food,-14.06,Posted,Food - nice,.,
6/27/2024,Sonesta Select Raleigh,SONESTA SELECT RALEIGH   MORRISVILLE  NC,Hotel,-387.33,Posted,,E,Conference hotel
6/28/2024,Outlaw Wings,SQ *OUTLAW WINGS         Broomfield   CO,Restaurants,-10.75,Posted,Going out,.,
6/30/2024,Sonesta Select Raleigh,SONESTA SELECT RALEIGH   919-4679 CREDIT,Hotel,387.33,Posted,,E,Conference hotel
7/2/2024,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-7.57,Posted,Games,.,Landnama
7/2/2024,Target,TARGET        00013722   THORNTON     CO,Shopping,-91.13,Posted,Housing - Other,.,
7/2/2024,Uncle Henry Asian Food,UNCLE HENRY ASIAN FOOD   DENVER       CO,Food & Dining,-18.2,Posted,Food - nice,.,
7/3/2024,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********3RMG,Uncategorized,-95.39,Posted,Rent,.,
7/3/2024,Online Payment Web,Online Payment   WEB PMTS   ***********MXMG,Transfer,-1792.99,Posted,Rent,.,
7/3/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-20.67,Posted,Food - nice,.,
7/4/2024,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
7/5/2024,Panda Express,PANDA EXPRESS #711       THORNTON     CO,Fast Food,-10.85,Posted,Food - nice,.,
7/5/2024,Target,TARGET        00013722   THORNTON     CO,Shopping,-142.66,Posted,Housing - Other,.,
7/7/2024,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - other,.,
7/8/2024,Sonic,SONIC DRIVE IN #3657     NORTHGLENN   CO,Fast Food,-12.28,Posted,Food - nice,.,
7/8/2024,Transfer to Venmo,VENMO            PAYMENT    ***********7412,Transfer,-11.21,Posted,Going out,.,After DnD dinner
7/9/2024,Conoco,CONOCO - SEI 25325       WESTMINSTER  CO,Gas,-38.39,Posted,Car - other,.,
7/9/2024,Snarf's,SNARFS WESTMINSTER       DENVER       CO,Fast Food,-20.98,Posted,Food - nice,.,
7/10/2024,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-12.98,Posted,Entertainment - other,.,
7/10/2024,Bender's Bar,TST* BENDER'S BAR & GRILLWESTMINSTER  CO,Restaurants,-18.41,Posted,Going out,.,
7/11/2024,Advs Ed Serv Studntloan,ADVS ED SERV PPD STUDNTLOAN ***********0000,Student Loan,-500,Posted,Self-improvement,.,Student loans
7/11/2024,American Astronautical So,AMERICAN ASTRONAUTICAL SO866-4350666  VA,Gifts & Donations,-865,Posted,,E,AAS conference
7/11/2024,Park Center Lounge,TST* PARK CENTER LOUNGE  303-452-8057 CO,Restaurants,-22.95,Posted,Going out,.,Intern karaoke
7/11/2024,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-189.69,Posted,Car/Rental Insurance,.,
7/11/2024,We Knead Donut,WE KNEAD DONUT           WESTMINSTER  CO,Fast Food,-5.66,Posted,Food - nice,.,
7/11/2024,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-44.95,Posted,Utilities,.,
7/12/2024,Credit Card Payment,AUTOMATIC PAYMENT - THANK YOU,Credit Card Payment,836.63,Posted,CC Payments,.,
7/12/2024,Target,TARGET        00013722   THORNTON     CO,Shopping,-94.36,Posted,Housing - Other,.,
7/13/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-15.54,Posted,Food - nice,.,
7/14/2024,King Soopers,KING SOOPERS #0062       WESTMINSTER  CO,Groceries,-99.01,Posted,Groceries,.,
7/14/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Credit Card Payment,2977.28,Posted,CC Payments,.,
7/14/2024,US Postal Service,USPS CHANGE OF ADDRESS   800-238-3150 TN,Shipping,-1.1,Posted,Other - other,.,
7/15/2024,Fidelity,FID BKG SVC LLC  MONEYLINE  ***********GU0T,Investments,-210.33,Posted,401k,.,Transfer to 401k
7/15/2024,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-16.85,Posted,Food - nice,.,
7/15/2024,Parking Pass Epermit Parkfl,PARKING PASS EPERMIT     HTTPSWWW.PARKFL,Parking,-10.61,Posted,Car - Parking Pass,.,
7/15/2024,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Credit Card Payment,25,Posted,Income - Other,.,
7/15/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-2977.28,Posted,CC Payments,.,
7/15/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-836.63,Posted,CC Payments,.,
7/16/2024,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - other,.,
7/19/2024,Quantum Fiber,QUANTUM FIBER    QUANTUM FI ***********7514,Internet,-49,Posted,Internet,.,
7/19/2024,Tokyo Teriyaki,TOKYO TERIYAKI           NORTHGLENN   CO,Restaurants,-20.67,Posted,Food - nice,.,
7/20/2024,Sugarfire,TST* SUGARFIRE SMOKEHOUSEWESTMINSTER  CO,Restaurants,-34.66,Posted,Food - nice,.,
7/22/2024,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-18.16,Posted,Utilities,.,
7/23/2024,We Knead Donut,WE KNEAD DONUT           WESTMINSTER  CO,Fast Food,-6.28,Posted,Food - nice,.,
7/24/2024,Bender's Bar,TST* BENDER'S BAR & GRILLWESTMINSTER  CO,Restaurants,-25.92,Posted,Going out,.,
7/26/2024,Interest Paid,INTEREST PAID,Interest Income,0.16,Posted,Income - Other,.,
7/29/2024,King Soopers,KING SOOPERS #0062       WESTMINSTER  CO,Groceries,-89.91,Posted,Groceries,.,
7/29/2024,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-12.92,Posted,Food - nice,.,
7/30/2024,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,6010.65,Posted,Salary,.,
7/31/2024,Bender's Bar,TST* BENDER'S BAR & GRILLWESTMINSTER  CO,Restaurants,-22.21,Posted,Going out,.,
